x,y,z
771319.6533,2632217.376,0.999364
771347.4561,2632216.985,1.002145
771375.2065,2632216.72,1.004744
771402.9019,2632216.598,1.007164
771430.5391,2632216.635,1.009623
771458.1105,2632216.845,1.012973
771485.6021,2632217.236,1.017203
771512.9959,2632217.809,1.021482
771540.2737,2632218.562,1.025616
771567.4201,2632219.492,1.029625
771594.4215,2632220.593,1.033517
771621.2661,2632221.86,1.037267
771647.9424,2632223.286,1.04087
771674.4402,2632224.867,1.044332
771700.7511,2632226.594,1.047638
771726.8657,2632228.462,1.050796
771752.7747,2632230.464,1.05381
771778.47,2632232.593,1.056656
771803.9442,2632234.843,1.059336
771829.1896,2632237.206,1.061877
771854.1979,2632239.677,1.064255
771878.9615,2632242.248,1.066461
771903.4738,2632244.912,1.06851
771927.7271,2632247.664,1.0704
771951.7135,2632250.495,1.072132
