lat,longitude,magnitude of bed shear stress (N/m^2)
25.69740000000,89.70080000000,8.52E-26
25.69590000000,89.70020000000,3.02E-25
25.69420000000,89.69940000000,1.82E-25
25.69230000000,89.69860000000,8.03E-27
25.69010000000,89.69790000000,1.76E-25
25.68760000000,89.69740000000,1.04E-25
25.68510000000,89.69720000000,8.93E-26
25.68300000000,89.69730000000,7.22E-26
25.68130000000,89.69760000000,1.11E-25
25.67970000000,89.69780000000,2.74E-25
25.67800000000,89.69800000000,2.12E-25
25.67600000000,89.69810000000,6.21E-26
25.67390000000,89.69830000000,1.12E-25
25.67160000000,89.69860000000,1.15E-25
25.66920000000,89.69920000000,4.54E-26
25.66680000000,89.69980000000,6.86E-26
25.66460000000,89.70030000000,2.39E-25
25.66240000000,89.70070000000,2.44E-25
25.65820000000,89.70110000000,1.41E-09
25.65600000000,89.70110000000,2.63E-08
25.65380000000,89.70090000000,7.44E-09
25.65140000000,89.70060000000,2.46E-08
25.64900000000,89.70010000000,1.16E-08
25.64660000000,89.69950000000,1.28E-08
25.64420000000,89.69890000000,1.29E-08
25.64200000000,89.69830000000,6.50E-08
25.63980000000,89.69770000000,1.43E-08
25.63790000000,89.69720000000,4.14E-08
25.63620000000,89.69670000000,4.18E-09
25.63460000000,89.69640000000,5.51E-09
25.63320000000,89.69600000000,1.45E-10
25.63180000000,89.69570000000,2.79E-09
25.63040000000,89.69550000000,1.88E-09
25.62900000000,89.69520000000,1.50E-08
25.62750000000,89.69490000000,1.54E-08
25.62580000000,89.69470000000,1.96E-08
25.62380000000,89.69450000000,7.06E-09
25.62160000000,89.69420000000,3.88E-09
25.61930000000,89.69390000000,1.69E-07
25.61680000000,89.69370000000,2.69E-10
25.61440000000,89.69340000000,6.02E-08
25.61210000000,89.69320000000,7.66E-08
25.60980000000,89.69300000000,8.17E-08
25.60780000000,89.69280000000,3.99E-09
25.60600000000,89.69250000000,2.01E-07
